Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.052962,-0.094417,0.049594,0,0,0,0.119,0.00013383,6.8295E-11,3.6366E-06,0.00014723,5.1205E-12,0.000214,0,0,0,0,0,0,package://urdf_V6/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V6/meshes/base_link.STL,,Fixed-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0059207,-0.012971,0.022635,0,0,0,0.093,5.7426E-05,-5.6415E-06,3.3676E-06,5.9444E-05,8.899E-06,6.238E-05,0,0,0,0,0,0,package://urdf_V6/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V6/meshes/link1.STL,,Joint1-1,J1,J1axis,J1,revolute,0.05542,-0.094417,0.082,0,0,0,base_link,0,0,1,0.92,6.16,0,3.14,,,,,,,,
link2,-0.00012999,0.058589,0.0077691,0,0,0,0.032,0.00010704,-1.7383E-09,2.5177E-10,9.11E-06,2.396E-07,0.00011184,0,0,0,0,0,0,package://urdf_V6/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V6/meshes/link2.STL,,Joint2-1,J2,J2axis,J2,revolute,-0.0099117,-0.009936,0.040276,1.5708,0,-2.4836,link1,0,0,-1,0.92,6.16,-1.57,1.57,,,,,,,,
link3,0.045369,-4.58E-05,-0.01512,0,0,0,0.101,1.8199E-05,-5.8051E-08,-4.9913E-08,6.8738E-05,4.0491E-09,6.9563E-05,0,0,0,0,0,0,package://urdf_V6/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V6/meshes/link3.STL,,Joint3-1,J3,J3axis,J3,revolute,0,0.12,0,0,0,0,link2,0,0,-1,0.92,6.16,0,3.14,,,,,,,,
link4,-0.0029037,0.043012,-0.0031096,0,0,0,0.0326,1.9847E-05,2.5863E-06,-3.8847E-07,5.6319E-06,1.9904E-06,1.8296E-05,0,0,0,0,0,0,package://urdf_V6/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V6/meshes/link4.STL,,Joint4-1,J4,J4axis,J4,revolute,0.11785,-0.0003,0.00515,0,0,-3.1416,link3,0,0,-1,0.13,8.72,0,3.14,,,,,,,,
link6,0.00039698,-0.0062489,0.002,0,0,0,0.002,3.3647E-07,1.6687E-08,-1.7255E-17,7.4869E-08,3.4134E-16,4.0497E-07,0,0,0,0,0,0,package://urdf_V6/meshes/link6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V6/meshes/link6.STL,,Joint5-1,J6,J6axis,J6,revolute,-0.01585,0.0581,-0.0194,3.1416,1.5708,0,link4,0,0,-1,0.13,8.72,0,1.501,,,,,,,,
leftTip,-0.0066699,-0.026438,-0.003425,0,0,0,0.0028,1.3145E-06,-2.1507E-07,9.0908E-12,1.0069E-07,6.1836E-13,1.3812E-06,0,0,0,0,0,0,package://urdf_V6/meshes/leftTip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V6/meshes/leftTip.STL,,Tip-2,leftGripperOrigin,leftGripperAxis,leftTip,revolute,0.0019496,-0.030688,0,0,0,0,link6,0,0,1,0,0,0,0,,,,,,,,
link5,-0.00039698,-0.0062489,0.002,0,0,0,0.002,3.3647E-07,-1.6687E-08,1.7255E-17,7.4869E-08,3.4134E-16,4.0497E-07,0,0,0,0,0,0,package://urdf_V6/meshes/link5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V6/meshes/link5.STL,,Joint6-1,J5,J5axis,J5,revolute,-0.01585,0.0581,0.0084,3.1416,1.5708,0,link4,0,0,-1,0.13,8.72,-1.501,0,,,,,,,,
rightTip,0.0066699,-0.026438,-0.003425,0,0,0,0.0028,1.3145E-06,2.1507E-07,9.0903E-12,1.0069E-07,-6.1572E-13,1.3812E-06,0,0,0,0,0,0,package://urdf_V6/meshes/rightTip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V6/meshes/rightTip.STL,,Tip-1,rightGripperOrigin,rightGripperAxis,rightTip,revolute,-0.0019496,-0.030688,0,0,0,0,link5,0,0,1,0,0,0,0,,,,,,,,
